,URL
0,https://www.tribuneindia.com/news/sports/indian-cricket-team-loses-top-spot-in-test-rankings-78974
1,https://www.tribuneindia.com/news/sports/us-womens-football-star-rapinoe-offers-to-be-bidens-running-mate-78979
2,https://www.tribuneindia.com/news/sports/chuni-goswami-indian-footballs-first-poster-boy-complete-athlete-78567
3,https://www.tribuneindia.com/news/sports/taylor-bags-new-zealand-cricketer-of-the-year-award-78984
4,https://www.tribuneindia.com/news/sports/andy-murray-becomes-virtual-tennis-champion-78950
5,https://www.tribuneindia.com/news/sports/australia-restricts-use-of-saliva-to-shine-ball-under-covid-19-guidelines-79006
6,https://www.tribuneindia.com/news/sports/jalandhars-jagshaanbir-joins-us-points-park-university-basketball-team-78989
7,https://www.tribuneindia.com/news/sports/hungarian-grand-prix-rules-out-spectators-for-august-race-79001
8,https://www.tribuneindia.com/news/sports/tennis-player-turns-empty-road-into-imaginary-court-78966
9,https://www.tribuneindia.com/news/sports/spieth-denied-ace-because-of-covid-19-safety-measures-78982
10,https://www.tribuneindia.com/news/sports/legendary-footballer-chuni-goswami-no-more-78556
11,https://www.tribuneindia.com/news/sports/this-time-its-butta-bomma-for-australian-cricketer-warner-78510
12,https://www.tribuneindia.com/news/sports/sania-mirza-nominated-for-fed-cup-heart-award-78553
13,https://www.tribuneindia.com/news/sports/iconic-footballer-all-round-cricketer-tributes-pour-in-for-chuni-goswami-78570
14,https://www.tribuneindia.com/news/sports/no-olympic-qualifiers-in-2020-world-rankings-freezed-world-archery-78572
15,https://www.tribuneindia.com/news/sports/every-game-i-played-for-csk-gave-me-goosebumps-imran-tahir-78531
16,https://www.tribuneindia.com/news/sports/we-need-to-introspect-if-cricket-is-moving-in-right-direction-michael-holding-78516
17,https://www.tribuneindia.com/news/sports/wife-jelena-makes-a-man-out-of-caveman-djokovic-78460
18,https://www.tribuneindia.com/news/sports/andy-murray-puts-down-racquet-and-picks-up-remote-78456
19,https://www.tribuneindia.com/news/sports/new-zealands-nicholls-donates-world-cup-final-shirt-78544
20,https://www.tribuneindia.com/news/sports/dilpreet-reveals-how-coach-reids-pep-talk-revived-his-hockey-career-79005
21,https://www.tribuneindia.com/news/sports/finishing-premier-league-season-will-be-good-for-football-jose-mourinho-78546
22,https://www.tribuneindia.com/news/sports/bfi-still-has-not-paid-full-fee-for-hosting-2018-event-aiba-78491
23,https://www.tribuneindia.com/news/sports/williamson-named-odi-player-of-the-year-in-new-zealand-crickets-virtual-awards-78485
24,https://www.tribuneindia.com/news/sports/i-dont-see-why-youve-to-change-it-warner-joins-debate-on-saliva-to-shine-ball-78483
25,https://www.tribuneindia.com/news/sports/captain-williamson-named-new-zealands-odi-player-of-the-year-78482
26,https://www.tribuneindia.com/news/sports/khawaja-shaun-marsh-miss-out-on-australia-contracts-78480
27,https://www.tribuneindia.com/news/sports/tokyo-olympics-difficult-if-pandemic-not-contained-shinzo-abe-78107
28,https://www.tribuneindia.com/news/sports/extension-of-qualifiers-gives-golfers-subhankar-lahiri-a-chance-to-make-cut-for-tokyo-games-78103
29,https://www.tribuneindia.com/news/sports/fine-with-ipl-in-empty-stadiums-if-it-ensures-fans-safety-rahane-78100
30,https://www.tribuneindia.com/news/sports/i-know-the-journey-pain-yuvraj-on-irrfan-khans-death-78085
31,https://www.tribuneindia.com/news/sports/paan-singh-tomar-how-irrfan-made-a-footnote-in-indian-sports-larger-than-life-78084
32,https://www.tribuneindia.com/news/sports/englands-moeen-ali-calls-for-hundred-delay-78077
33,https://www.tribuneindia.com/news/sports/top-10-finish-in-2028-olympics-is-ambitious-but-not-impossible-rijiju-78075
34,https://www.tribuneindia.com/news/sports/tennis-merger-can-help-sport-emerge-stronger-say-top-players-78072
35,https://www.tribuneindia.com/news/sports/sports-must-first-resume-safely-at-lower-levels-says-who-expert-78062
36,https://www.tribuneindia.com/news/sports/german-dutch-and-finnish-motogp-races-cancelled-78060
37,https://www.tribuneindia.com/news/sports/kamran-wants-umar-to-learn-from-tendulkar-dhoni-and-kohli-78057
38,https://www.tribuneindia.com/news/sports/bwf-moves-thomas-uber-cup-finals-to-october-78044
39,https://www.tribuneindia.com/news/sports/japans-pm-says-impossible-to-hold-olympics-unless-coronavirus-contained-78041
